# fastvlm session log
# generated,2026-06-01T00:00:00Z
# userAgent,Chrome/126 Mac
# webgpu,True
# crossOriginIsolated,True
# modelLoadMs,8200
# framesProcessed,58
# framesDropped,11
# dropRatePct,15.9
seq,sessionMs,mode,source,question,endToEndMs,ttftMs,totalMs,tokens,tokensPerSec,output
0,1200,event,file,,1240,405,1200,12,15.1,(warm-up) a scene
1,1498,event,file,,311,113,276,19,116.8,a cup on the table
2,1863,event,file,,397,156,346,18,95.0,a person walking into the room
3,2139,event,file,,290,139,256,15,128.0,trees and a clear sky
4,2427,event,file,,298,139,256,23,196.6,someone waving at the camera
5,2667,event,file,,261,143,229,19,222.3,none
6,3061,event,file,,431,152,383,19,82.3,a cup on the table
7,3381,event,file,,323,174,298,22,176.5,none
8,3652,event,file,,302,103,254,23,152.3,a person walking into the room
9,3941,event,file,,311,91,273,19,104.4,a person sitting at a desk
10,4270,event,file,,327,119,302,12,65.6,a person sitting at a desk
11,4571,event,file,,329,148,278,21,160.5,none
12,4835,event,file,,275,115,238,14,114.1,a person sitting at a desk
13,5176,event,file,,358,170,320,25,166.2,a cup on the table
14,5486,event,file,,326,146,293,18,122.1,none
15,5821,event,file,,316,76,294,24,110.0,trees and a clear sky
16,6123,event,file,,334,127,283,23,147.9,trees and a clear sky
17,6412,event,file,,310,147,263,17,147.0,a person walking into the room
18,6724,event,file,,316,126,287,11,68.6,a person walking into the room
19,7004,event,file,,306,92,263,11,64.5,someone waving at the camera
20,7333,event,file,,338,175,304,17,132.2,a person sitting at a desk
21,7694,event,file,,389,139,344,23,112.2,a person walking into the room
22,7980,event,file,,292,113,266,14,91.1,trees and a clear sky
23,8274,event,file,,342,146,294,11,74.4,a cup on the table
24,8540,event,file,,312,117,239,11,90.5,a person sitting at a desk
25,8882,event,file,,375,145,323,19,106.9,someone waving at the camera
26,9212,event,file,,367,165,313,16,108.3,trees and a clear sky
27,9550,event,file,,363,171,321,22,146.8,a cup on the table
28,9812,event,file,,265,158,248,13,143.3,a person sitting at a desk
29,10077,event,file,,288,111,246,22,163.2,trees and a clear sky
30,10378,event,file,,307,109,273,24,147.1,none
31,10709,event,file,,359,148,306,10,63.4,a person sitting at a desk
32,11002,event,file,,300,109,274,12,72.9,someone waving at the camera
33,11319,event,file,,363,151,305,17,110.8,trees and a clear sky
34,11527,event,file,,243,79,195,14,121.1,trees and a clear sky
35,11819,event,file,,326,153,281,23,180.6,none
36,12148,event,file,,361,148,307,9,56.7,a person sitting at a desk
37,12417,event,file,,325,154,266,16,143.4,trees and a clear sky
38,12651,event,file,,280,110,213,13,125.5,a person walking into the room
39,12964,event,file,,341,147,300,13,85.1,trees and a clear sky
40,13342,event,file,,376,110,342,9,38.7,someone waving at the camera
41,13707,event,file,,394,155,341,13,69.9,trees and a clear sky
42,14069,event,file,,385,152,339,21,112.9,someone waving at the camera
43,14346,event,file,,305,121,244,13,105.9,none
44,14717,event,file,,382,141,350,21,100.2,a person sitting at a desk
45,15038,event,file,,355,144,311,12,71.9,a person sitting at a desk
46,15432,event,file,,418,178,373,18,92.5,a person walking into the room
47,15710,event,file,,289,130,259,20,154.7,a person sitting at a desk
48,16041,event,file,,382,147,325,11,61.8,a person sitting at a desk
49,16421,event,file,,391,160,359,19,95.5,a cup on the table
50,16772,event,file,,364,143,320,21,118.3,a cup on the table
51,17053,event,file,,297,104,259,24,155.4,a person sitting at a desk
52,17357,event,file,,329,141,289,21,141.5,a person walking into the room
53,17683,event,file,,377,140,314,12,69.0,trees and a clear sky
54,17890,event,file,,247,106,201,19,199.7,a person walking into the room
55,18226,event,file,,400,132,337,17,82.9,none
56,18500,event,file,,301,107,260,23,150.9,none
57,18913,event,file,,440,169,395,11,48.8,a person walking into the room
