file,seq,mode,output,quality
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,1,qa,"To determine the number of planes in the frame, we need to carefully observe the image and identify any objects that resemble planes",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,2,qa,"To determine the number of planes in the frame, we need to carefully examine the image provided. The image shows a single",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,3,qa,"To determine the number of planes in the frame, we need to carefully observe the image and identify the objects present.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,4,qa,"To determine the number of planes in the frame, we need to carefully examine the image provided. The image shows a cloudy",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,5,qa,"To determine the number of planes in the frame, we need to carefully examine the image provided. The image shows a cloudy",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,6,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count the distinct objects that resemble",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,7,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,8,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,9,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,10,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,11,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,12,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,13,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,14,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,15,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,16,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,17,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,18,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,19,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
