# fastvlm session log
# generated,2026-06-01T00:00:00Z
# userAgent,Chrome/126 Mac
# webgpu,True
# crossOriginIsolated,True
# modelLoadMs,8200
# framesProcessed,60
# framesDropped,12
# dropRatePct,16.7
seq,sessionMs,mode,source,question,endToEndMs,ttftMs,totalMs,tokens,tokensPerSec,output
0,1680,caption,file,,1720,420,1680,12,9.5,(warm-up) a scene
1,2075,caption,file,,391,147,369,9,40.6,none
2,2487,caption,file,,429,107,394,17,59.2,a person sitting at a desk
3,2993,caption,file,,536,162,485,15,46.4,none
4,3424,caption,file,,463,118,418,23,76.5,none
5,3831,caption,file,,417,135,377,16,66.2,a person walking into the room
6,4295,caption,file,,491,131,440,17,54.9,a person sitting at a desk
7,4762,caption,file,,503,193,451,24,93.3,someone waving at the camera
8,5218,caption,file,,494,168,442,13,47.5,trees and a clear sky
9,5701,caption,file,,515,158,469,15,48.3,none
10,6198,caption,file,,520,145,474,22,66.9,trees and a clear sky
11,6669,caption,file,,501,147,462,12,38.1,none
12,7089,caption,file,,445,123,388,15,56.7,none
13,7469,caption,file,,412,97,358,18,68.9,a cup on the table
14,7906,caption,file,,463,159,420,25,96.0,trees and a clear sky
15,8243,caption,file,,371,107,324,23,106.2,trees and a clear sky
16,8678,caption,file,,454,157,413,25,97.6,a cup on the table
17,9089,caption,file,,425,151,394,9,37.0,a person sitting at a desk
18,9515,caption,file,,456,152,405,24,94.6,a person sitting at a desk
19,9963,caption,file,,456,156,431,20,72.9,a cup on the table
20,10285,caption,file,,343,103,309,14,68.0,a person walking into the room
21,10785,caption,file,,517,130,483,12,34.0,none
22,11164,caption,file,,385,134,361,10,44.1,someone waving at the camera
23,11623,caption,file,,490,150,444,16,54.5,a person walking into the room
24,12063,caption,file,,461,126,419,10,34.1,a cup on the table
25,12489,caption,file,,459,114,404,11,37.9,someone waving at the camera
26,13011,caption,file,,544,148,510,22,60.8,trees and a clear sky
27,13369,caption,file,,360,130,333,13,64.1,a person sitting at a desk
28,13808,caption,file,,491,114,411,12,40.3,someone waving at the camera
29,14186,caption,file,,410,150,375,22,98.0,trees and a clear sky
30,14580,caption,file,,422,129,375,14,57.0,none
31,14944,caption,file,,402,136,358,19,85.6,none
32,15444,caption,file,,502,184,471,19,66.1,a person walking into the room
33,15836,caption,file,,410,115,355,13,54.3,none
34,16309,caption,file,,493,117,449,19,57.2,a cup on the table
35,16753,caption,file,,458,123,428,13,42.6,someone waving at the camera
36,17287,caption,file,,561,144,512,12,32.6,a person walking into the room
37,17769,caption,file,,515,172,465,15,51.3,someone waving at the camera
38,18249,caption,file,,533,178,468,25,86.1,trees and a clear sky
39,18719,caption,file,,485,183,453,14,51.9,a cup on the table
40,19169,caption,file,,476,117,433,16,50.6,a cup on the table
41,19697,caption,file,,527,148,507,8,22.3,none
42,20079,caption,file,,412,138,371,15,64.4,trees and a clear sky
43,20468,caption,file,,419,163,368,15,72.9,a person sitting at a desk
44,20886,caption,file,,450,127,389,17,65.0,a cup on the table
45,21281,caption,file,,424,136,377,18,74.7,a cup on the table
46,21700,caption,file,,465,112,397,8,28.1,a person walking into the room
47,22091,caption,file,,431,118,382,19,72.0,none
48,22515,caption,file,,452,170,409,16,66.9,trees and a clear sky
49,22892,caption,file,,387,113,363,10,39.9,a cup on the table
50,23404,caption,file,,569,103,502,25,62.6,none
51,23849,caption,file,,493,213,427,14,65.3,a person sitting at a desk
52,24256,caption,file,,421,115,381,18,67.6,a person sitting at a desk
53,24614,caption,file,,387,136,339,20,98.5,a person sitting at a desk
54,25075,caption,file,,481,126,432,22,71.8,someone waving at the camera
55,25510,caption,file,,465,141,421,17,60.7,a person sitting at a desk
56,26094,caption,file,,592,192,560,13,35.3,a person sitting at a desk
57,26583,caption,file,,520,170,464,20,67.9,a person sitting at a desk
58,26968,caption,file,,414,151,369,18,82.6,none
59,27393,caption,file,,469,132,406,13,47.4,a cup on the table
