# fastvlm session log
# generated,2026-06-01T00:00:00Z
# userAgent,Chrome/126 Mac
# webgpu,True
# crossOriginIsolated,True
# modelLoadMs,8200
# framesProcessed,55
# framesDropped,11
# dropRatePct,16.7
seq,sessionMs,mode,source,question,endToEndMs,ttftMs,totalMs,tokens,tokensPerSec,output
0,1440,qa,file,How many people are visible?,1480,450,1440,12,12.1,(warm-up) a scene
1,1742,qa,file,How many people are visible?,321,80,280,12,60.0,trees and a clear sky
2,2102,qa,file,How many people are visible?,381,102,326,14,62.6,someone waving at the camera
3,2462,qa,file,How many people are visible?,409,141,348,12,57.9,trees and a clear sky
4,2940,qa,file,How many people are visible?,514,165,448,16,56.6,a cup on the table
5,3364,qa,file,How many people are visible?,443,161,406,21,85.8,a cup on the table
6,3728,qa,file,How many people are visible?,383,176,337,17,105.9,a person walking into the room
7,4185,qa,file,How many people are visible?,449,181,423,18,74.5,a person sitting at a desk
8,4510,qa,file,How many people are visible?,361,148,308,15,93.3,a cup on the table
9,4829,qa,file,How many people are visible?,335,131,298,20,119.5,a cup on the table
10,5271,qa,file,How many people are visible?,465,158,416,16,61.9,someone waving at the camera
11,5683,qa,file,How many people are visible?,417,151,379,12,52.8,a cup on the table
12,6024,qa,file,How many people are visible?,364,165,309,16,111.4,a cup on the table
13,6432,qa,file,How many people are visible?,426,134,378,21,86.0,a person walking into the room
14,6782,qa,file,How many people are visible?,380,157,331,13,74.8,a person sitting at a desk
15,7143,qa,file,How many people are visible?,378,176,342,10,60.4,none
16,7516,qa,file,How many people are visible?,407,127,346,10,45.8,someone waving at the camera
17,7959,qa,file,How many people are visible?,461,173,418,12,48.9,a person walking into the room
18,8349,qa,file,How many people are visible?,433,95,373,17,61.3,a person sitting at a desk
19,8620,qa,file,How many people are visible?,314,106,264,13,82.6,someone waving at the camera
20,9014,qa,file,How many people are visible?,431,164,385,15,67.7,a person walking into the room
21,9407,qa,file,How many people are visible?,403,137,366,19,82.9,a person walking into the room
22,9824,qa,file,How many people are visible?,432,153,395,23,95.1,a person sitting at a desk
23,10214,qa,file,How many people are visible?,414,145,363,8,36.7,a person walking into the room
24,10589,qa,file,How many people are visible?,377,142,347,22,107.3,a cup on the table
25,10825,qa,file,How many people are visible?,263,109,221,20,178.6,none
26,11267,qa,file,How many people are visible?,446,155,411,16,62.6,a person sitting at a desk
27,11681,qa,file,How many people are visible?,427,186,400,16,74.8,a person sitting at a desk
28,12028,qa,file,How many people are visible?,349,126,320,17,87.2,a person walking into the room
29,12379,qa,file,How many people are visible?,349,160,326,11,66.1,a person walking into the room
30,12754,qa,file,How many people are visible?,396,175,359,14,75.8,a person walking into the room
31,13140,qa,file,How many people are visible?,424,161,363,16,79.2,a person sitting at a desk
32,13458,qa,file,How many people are visible?,347,140,288,12,81.1,a cup on the table
33,13845,qa,file,How many people are visible?,434,160,364,24,117.4,someone waving at the camera
34,14242,qa,file,How many people are visible?,417,151,368,19,87.7,someone waving at the camera
35,14628,qa,file,How many people are visible?,392,149,372,23,103.1,trees and a clear sky
36,14957,qa,file,How many people are visible?,368,119,310,16,83.9,someone waving at the camera
37,15322,qa,file,How many people are visible?,395,124,348,17,75.7,a cup on the table
38,15713,qa,file,How many people are visible?,407,166,362,11,56.2,someone waving at the camera
39,16184,qa,file,How many people are visible?,491,220,439,18,82.1,a person walking into the room
40,16549,qa,file,How many people are visible?,386,148,351,12,59.2,trees and a clear sky
41,16995,qa,file,How many people are visible?,474,167,423,9,35.2,trees and a clear sky
42,17392,qa,file,How many people are visible?,412,141,390,24,96.3,a person sitting at a desk
43,17796,qa,file,How many people are visible?,403,109,376,12,44.9,a cup on the table
44,18092,qa,file,How many people are visible?,295,69,257,16,85.5,none
45,18417,qa,file,How many people are visible?,350,162,306,24,166.2,a cup on the table
46,18838,qa,file,How many people are visible?,451,171,395,20,89.1,a person sitting at a desk
47,19214,qa,file,How many people are visible?,405,193,363,22,130.0,a person walking into the room
48,19625,qa,file,How many people are visible?,427,187,379,23,120.2,none
49,20025,qa,file,How many people are visible?,437,192,387,12,61.6,a person walking into the room
50,20385,qa,file,How many people are visible?,360,107,344,25,105.6,a cup on the table
51,20666,qa,file,How many people are visible?,310,128,267,23,165.3,a cup on the table
52,21034,qa,file,How many people are visible?,399,143,346,21,103.3,someone waving at the camera
53,21453,qa,file,How many people are visible?,463,167,394,17,75.2,none
54,21812,qa,file,How many people are visible?,374,147,344,10,50.7,a person walking into the room
