# fastvlm session log
# generated,2026-06-08T14:17:58.925Z
# userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
# webgpu,true
# crossOriginIsolated,true
# modelLoadMs,1916
# framesProcessed,32
# framesDropped,0
# dropRatePct,0.0
seq,sessionMs,mode,source,question,endToEndMs,ttftMs,totalMs,tokens,tokensPerSec,output
1,1700,caption,file,,1699,1341,1616,27,98.1,"The image captures a vibrant kite soaring high in the sky, its red and blue streamers creating a striking contrast against the backdrop of a cloudy sky."
2,3909,caption,file,,1707,1327,1607,28,100.0,"The image captures a vibrant kite soaring high in the sky, its long tail streaming behind it, set against a backdrop of a cloudy sky and distant trees."
3,6137,caption,file,,1726,1321,1631,31,99.9,"The image captures a jet airplane performing a loop maneuver in the sky, leaving a trail of red and blue smoke, with a backdrop of a cloudy sky and distant trees."
4,8341,caption,file,,1703,1319,1608,28,96.7,"The image captures a jet flying through a cloudy sky, with its trail of smoke or vapor trailing behind it, creating a dynamic and somewhat ethereal visual effect."
5,10529,caption,file,,1686,1320,1590,25,92.7,"The image captures a red and white airplane flying through a cloudy sky, with the aircraft's trail visible against the backdrop of the overcast weather."
6,12741,caption,file,,1711,1314,1612,28,94.1,"The image captures a formation of planes flying in a tight, coordinated pattern, leaving trails of red and white smoke in the sky, creating a visually striking display."
7,14974,caption,file,,1732,1309,1636,32,97.9,"The image captures a vibrant display of red and blue smoke trails, creating a striking visual effect against a backdrop of a cloudy sky, with a distant hill visible at the bottom."
8,17402,caption,file,,1923,1417,1827,35,85.3,"The image captures a formation of planes flying in a V-shape, leaving trails of smoke in the sky, with one plane positioned at the front and the others following behind, creating a visually striking display"
9,19901,caption,file,,1996,1618,1901,26,91.7,"The image captures a formation of aircraft flying in a diagonal line, leaving trails of smoke behind them, set against a backdrop of a cloudy sky."
10,22112,caption,file,,1709,1353,1605,25,99.2,"The image captures a formation of aircraft flying in a diagonal line, leaving a trail of smoke, set against a backdrop of a cloudy sky."
11,24310,caption,file,,1697,1337,1600,26,98.6,"The image captures a formation of planes flying in a diagonal line, leaving trails of smoke behind them, set against a backdrop of a cloudy sky."
